type,value
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,-2.0
variable 1,2.0
variable 1,-4.0
variable 1,2.0
variable 1,0.0
variable 1,3.0
variable 1,4.0
variable 1,-1.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,4.0
variable 1,-1.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,-1.0
variable 1,12.0
variable 1,0.0
variable 1,0.0
variable 1,4.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,6.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,9.0
variable 1,2.0
variable 1,2.0
variable 1,0.0
variable 1,3.0
variable 1,4.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,5.0
variable 1,0.0
variable 1,0.0
variable 1,-1.0
variable 1,2.0
variable 1,0.0
variable 1,4.0
variable 1,5.0
variable 1,0.0
variable 1,3.0
variable 1,0.0
variable 1,2.0
variable 1,2.0
variable 1,-1.0
variable 1,3.0
variable 1,3.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,3.0
variable 1,3.0
variable 1,2.0
variable 1,1.0
variable 1,1.0
variable 1,6.0
variable 1,0.0
variable 1,4.0
variable 1,0.0
variable 1,-1.0
variable 1,4.0
variable 1,3.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,2.0
variable 1,0.0
variable 1,1.0
variable 1,4.0
variable 1,9.0
variable 1,0.0
variable 1,2.0
variable 1,3.0
variable 1,2.0
variable 1,3.0
variable 1,7.0
variable 1,2.0
variable 1,0.0
variable 1,-1.0
variable 1,2.0
variable 1,4.0
variable 1,1.0
variable 1,0.0
variable 1,3.0
variable 1,2.0
variable 1,4.0
variable 1,2.0
variable 1,0.0
variable 1,2.0
variable 1,3.0
variable 1,0.0
variable 1,1.0
variable 1,3.0
variable 1,0.0
variable 1,1.0
variable 1,4.0
variable 1,0.0
variable 1,1.0
variable 1,4.0
variable 1,3.0
variable 1,0.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,0.0
variable 1,2.0
variable 1,0.0
variable 1,-2.0
variable 1,0.0
variable 1,0.0
variable 1,1.0
variable 1,4.0
variable 1,0.0
variable 2,4.0
variable 2,0.0
variable 2,-4.0
variable 2,-2.0
variable 2,0.0
variable 2,-3.0
variable 2,-3.0
variable 2,-2.0
variable 2,-6.0
variable 2,4.0
variable 2,-2.0
variable 2,0.0
variable 2,2.0
variable 2,4.0
variable 2,-1.0
variable 2,2.0
variable 2,-2.0
variable 2,6.0
variable 2,4.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,5.0
variable 2,0.0
variable 2,-2.0
variable 2,1.0
variable 2,0.0
variable 2,-1.0
variable 2,-2.0
variable 2,0.0
variable 2,2.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,9.0
variable 2,1.0
variable 2,-3.0
variable 2,4.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-4.0
variable 2,-2.0
variable 2,1.0
variable 2,-5.0
variable 2,6.0
variable 2,-2.0
variable 2,-3.0
variable 2,0.0
variable 2,-2.0
variable 2,4.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,4.0
variable 2,1.0
variable 2,-2.0
variable 2,0.0
variable 2,-1.0
variable 2,6.0
variable 2,7.0
variable 2,-4.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,-4.0
variable 2,-2.0
variable 2,5.0
variable 2,-2.0
variable 2,-3.0
variable 2,-1.0
variable 2,-2.0
variable 2,-2.0
variable 2,2.0
variable 2,-4.0
variable 2,4.0
variable 2,-1.0
variable 2,-1.0
variable 2,0.0
variable 2,2.0
variable 2,-2.0
variable 2,-4.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,-3.0
variable 2,-2.0
variable 2,-3.0
variable 2,0.0
variable 2,-7.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,4.0
variable 2,4.0
variable 2,-1.0
variable 2,0.0
variable 2,-5.0
variable 2,3.0
variable 2,-4.0
variable 2,2.0
variable 2,-4.0
variable 2,-3.0
variable 2,8.0
variable 2,-2.0
variable 2,0.0
variable 2,-7.0
variable 2,0.0
variable 2,-4.0
variable 2,-4.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,-6.0
variable 2,4.0
variable 2,0.0
variable 2,0.0
variable 2,-4.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,-1.0
variable 2,-6.0
variable 2,0.0
variable 2,-3.0
variable 2,0.0
variable 2,1.0
variable 2,0.0
variable 2,0.0
variable 2,-13.0
variable 2,-2.0
variable 2,-2.0
variable 2,-6.0
variable 2,0.0
variable 2,0.0
variable 2,4.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,2.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-1.0
variable 2,-1.0
variable 2,2.0
variable 2,0.0
variable 2,0.0
variable 2,0.0
variable 2,2.0
variable 2,4.0
variable 2,-8.0
variable 2,-1.0
variable 2,0.0
variable 2,-8.0
variable 2,-2.0
